Date,High,Low,Open,Close,Volume,Adj Close
2020-01-01,773.25,765.2999877929688,765.2999877929688,771.1500244140625,465429.0,761.90625
2020-01-02,780.3499755859375,764.2000122070312,773.0,775.5999755859375,867603.0,766.3028564453125
2020-01-03,786.5,770.0,775.9000244140625,776.9000244140625,1110452.0,767.5873413085938
2020-01-06,774.4500122070312,756.0,771.0,762.1500244140625,522118.0,753.01416015625
2020-01-07,772.5999755859375,752.5499877929688,764.0,757.5499877929688,824059.0,748.46923828125
2020-01-08,760.6500244140625,750.0999755859375,752.0,757.0999755859375,641773.0,748.024658203125
2020-01-09,767.2999877929688,757.0999755859375,762.0,758.9000244140625,778130.0,749.8031005859375
2020-01-10,778.5,757.5,763.1500244140625,758.9500122070312,1820102.0,749.8525390625
2020-01-13,763.0,740.5,756.5,748.5999755859375,2327854.0,739.6265258789062
2020-01-14,758.9000244140625,750.4500122070312,752.7000122070312,752.7999877929688,1213631.0,743.776123046875
2020-01-15,756.7999877929688,746.7000122070312,752.0,751.0499877929688,1220738.0,742.0471801757812
2020-01-16,760.6500244140625,751.5,751.5,753.9500122070312,1284812.0,744.9124145507812
2020-01-17,770.0,751.4500122070312,753.0,766.6500244140625,1336060.0,757.460205078125
2020-01-20,760.25,730.0999755859375,760.0,732.7000122070312,3214043.0,723.9171142578125
2020-01-21,744.25,727.25,733.0,741.1500244140625,1619921.0,732.265869140625
2020-01-22,746.9500122070312,734.6500244140625,743.25,738.4000244140625,904533.0,729.548828125
2020-01-23,743.9500122070312,736.0,738.4000244140625,737.8499755859375,718365.0,729.00537109375
2020-01-24,744.5,735.7000122070312,737.2999877929688,740.1500244140625,507047.0,731.27783203125
2020-01-27,759.9000244140625,734.0999755859375,738.0,751.9000244140625,1492976.0,742.886962890625
2020-01-28,756.7000122070312,745.0999755859375,755.0,747.4000244140625,1322275.0,738.44091796875
2020-01-29,752.75,743.5499877929688,750.0,744.8499755859375,867074.0,735.9214477539062
2020-01-30,745.9000244140625,725.5499877929688,745.9000244140625,728.3499755859375,1153471.0,719.6192626953125
2020-01-31,734.7000122070312,716.0,734.0,718.25,1117946.0,709.640380859375
2020-02-03,723.25,698.7999877929688,708.3499755859375,708.6500244140625,1106940.0,700.1554565429688
2020-02-04,728.8499755859375,711.0,717.6500244140625,721.5999755859375,1129876.0,712.9501342773438
